Area Code,Date,Market,Market Size,Product,Product Line,Product Type,State,Type,Budget COGS,Budget Margin,Budget Profit,Budget Sales,COGS,Inventory,Margin,Marketing,Profit,Sales,Total Expenses,month,date,year
309,01/01/2012,Central,Major Market,Caffe Mocha,Beans,Espresso,Illinois,Regular,270,370,260,640,234,1310,312,77,203.0,546,109,01,01,2012
630,01/01/2012,Central,Major Market,Decaf Espresso,Beans,Espresso,Illinois,Decaf,260,270,180,530,228,1459,228,63,140.0,456,88,01,01,2012
312,01/01/2012,Central,Major Market,Chamomile,Leaves,Herbal Tea,Illinois,Decaf,70,120,100,190,89,777,130,24,95.0,219,35,01,01,2012
630,01/01/2012,Central,Major Market,Lemon,Leaves,Herbal Tea,Illinois,Decaf,70,90,60,160,83,623,107,27,68.0,190,39,01,01,2012
773,01/01/2012,Central,Major Market,Mint,Leaves,Herbal Tea,Illinois,Decaf,80,120,100,200,95,821,139,26,101.0,234,38,01,01,2012
217,01/01/2012,Central,Major Market,Darjeeling,Leaves,Tea,Illinois,Regular,40,70,50,110,54,456,80,15,53.0,134,27,01,01,2012
708,01/01/2012,Central,Major Market,Earl Grey,Leaves,Tea,Illinois,Regular,60,90,40,150,72,558,108,23,54.0,180,54,01,01,2012
319,01/01/2012,Central,Small Market,Amaretto,Beans,Coffee,Iowa,Regular,10,30,20,40,18,821,27,5,11.0,45,16,01,01,2012
641,01/01/2012,Central,Small Market,Colombian,Beans,Coffee,Iowa,Regular,20,40,20,60,28,965,34,8,5.0,62,29,01,01,2012
712,01/01/2012,Central,Small Market,Decaf Irish Cream,Beans,Coffee,Iowa,Decaf,20,30,20,50,23,623,31,7,12.0,54,19,01,01,2012
563,01/01/2012,Central,Small Market,Caffe Mocha,Beans,Espresso,Iowa,Regular,10,40,30,50,17,777,26,4,11.0,43,15,01,01,2012
563,01/01/2012,Central,Small Market,Decaf Espresso,Beans,Espresso,Iowa,Decaf,10,40,30,50,17,777,26,4,10.0,43,16,01,01,2012
641,01/01/2012,Central,Small Market,Chamomile,Leaves,Herbal Tea,Iowa,Decaf,200,280,200,480,234,1310,312,77,202.0,546,110,01,01,2012
563,01/01/2012,Central,Small Market,Lemon,Leaves,Herbal Tea,Iowa,Decaf,80,120,90,200,95,608,139,30,86.0,234,53,01,01,2012
712,01/01/2012,Central,Small Market,Darjeeling,Leaves,Tea,Iowa,Regular,190,210,140,400,228,1459,228,63,141.0,456,87,01,01,2012
319,01/01/2012,Central,Small Market,Earl Grey,Leaves,Tea,Iowa,Regular,210,270,160,480,245,1419,301,93,175.0,546,126,01,01,2012
636,01/01/2012,Central,Small Market,Colombian,Beans,Coffee,Missouri,Regular,90,100,40,190,85,494,105,32,39.0,190,66,01,01,2012
573,01/01/2012,Central,Small Market,Decaf Irish Cream,Beans,Coffee,Missouri,Decaf,80,90,50,170,78,965,92,24,47.0,170,45,01,01,2012
417,01/01/2012,Central,Small Market,Green Tea,Leaves,Tea,Missouri,Regular,20,40,0,60,34,197,42,12,-4.0,76,46,01,01,2012
573,01/01/2012,Central,Small Market,Caffe Mocha,Beans,Espresso,Missouri,Regular,50,90,70,140,50,821,73,14,48.0,123,25,01,01,2012
660,01/01/2012,Central,Small Market,Decaf Espresso,Beans,Espresso,Missouri,Decaf,50,80,60,130,46,777,68,12,45.0,114,23,01,01,2012
573,01/01/2012,Central,Small Market,Chamomile,Leaves,Herbal Tea,Missouri,Decaf,30,40,0,70,37,261,53,34,-11.0,90,64,01,01,2012
314,01/01/2012,Central,Small Market,Lemon,Leaves,Herbal Tea,Missouri,Decaf,70,10,-20,80,88,525,11,27,-39.0,99,50,01,01,2012
314,01/01/2012,Central,Small Market,Darjeeling,Leaves,Tea,Missouri,Regular,30,40,10,70,35,196,47,11,9.0,82,38,01,01,2012
573,01/01/2012,Central,Small Market,Earl Grey,Leaves,Tea,Missouri,Regular,20,30,-10,50,29,169,36,11,-9.0,65,45,01,01,2012
740,01/01/2012,Central,Major Market,Amaretto,Beans,Coffee,Ohio,Regular,60,80,50,140,60,336,80,19,34.0,140,46,01,01,2012
614,01/01/2012,Central,Major Market,Colombian,Beans,Coffee,Ohio,Regular,60,80,50,140,57,364,83,18,42.0,140,41,01,01,2012
614,01/01/2012,Central,Major Market,Decaf Irish Cream,Beans,Coffee,Ohio,Decaf,60,90,20,150,63,435,87,57,0.0,150,87,01,01,2012
216,01/01/2012,Central,Major Market,Earl Grey,Leaves,Tea,Ohio,Regular,70,100,60,170,84,500,116,26,67.0,200,49,01,01,2012
614,01/01/2012,Central,Major Market,Decaf Espresso,Beans,Espresso,Ohio,Decaf,60,90,40,150,58,338,72,22,16.0,130,56,01,01,2012
614,01/01/2012,Central,Major Market,Caffe Mocha,Beans,Espresso,Ohio,Regular,190,210,140,400,170,1091,171,47,99.0,341,72,01,01,2012
937,01/01/2012,Central,Major Market,Chamomile,Leaves,Herbal Tea,Ohio,Decaf,20,50,50,70,32,456,48,8,29.0,80,19,01,01,2012
740,01/01/2012,Central,Major Market,Lemon,Leaves,Herbal Tea,Ohio,Decaf,20,50,50,70,32,821,48,8,29.0,80,19,01,01,2012
567,01/01/2012,Central,Major Market,Darjeeling,Leaves,Tea,Ohio,Regular,70,110,60,180,84,651,126,27,68.0,210,58,01,01,2012
262,01/01/2012,Central,Small Market,Amaretto,Beans,Coffee,Wisconsin,Regular,50,70,30,120,54,312,66,20,13.0,120,53,01,01,2012
262,01/01/2012,Central,Small Market,Colombian,Beans,Coffee,Wisconsin,Regular,80,110,20,190,79,551,111,72,9.0,190,102,01,01,2012
414,01/01/2012,Central,Small Market,Decaf Irish Cream,Beans,Coffee,Wisconsin,Decaf,80,100,60,180,77,432,103,25,51.0,180,52,01,01,2012
262,01/01/2012,Central,Small Market,Earl Grey,Leaves,Tea,Wisconsin,Regular,60,90,10,150,75,522,105,68,7.0,180,98,01,01,2012
262,01/01/2012,Central,Small Market,Decaf Espresso,Beans,Espresso,Wisconsin,Decaf,50,70,50,120,48,623,62,15,34.0,110,28,01,01,2012
414,01/01/2012,Central,Small Market,Caffe Mocha,Beans,Espresso,Wisconsin,Regular,80,90,50,170,69,965,81,21,38.0,150,43,01,01,2012
715,01/01/2012,Central,Small Market,Chamomile,Leaves,Herbal Tea,Wisconsin,Decaf,50,100,80,150,67,400,113,20,70.0,180,43,01,01,2012
715,01/01/2012,Central,Small Market,Lemon,Leaves,Herbal Tea,Wisconsin,Decaf,20,50,50,70,33,777,48,9,28.0,81,20,01,01,2012
608,01/01/2012,Central,Small Market,Darjeeling,Leaves,Tea,Wisconsin,Regular,50,80,50,130,61,390,89,19,47.0,150,42,01,01,2012
475,01/01/2012,East,Small Market,Darjeeling,Leaves,Tea,Connecticut,Regular,50,80,60,130,50,821,73,14,47.0,123,26,01,01,2012
475,01/01/2012,East,Small Market,Green Tea,Leaves,Tea,Connecticut,Regular,40,60,40,100,38,777,56,10,35.0,94,21,01,01,2012
475,01/01/2012,East,Small Market,Decaf Espresso,Beans,Espresso,Connecticut,Decaf,50,70,40,120,55,312,75,18,30.0,130,45,01,01,2012
860,01/01/2012,East,Small Market,Caffe Mocha,Beans,Espresso,Connecticut,Regular,70,100,20,170,75,522,105,68,7.0,180,98,01,01,2012
475,01/01/2012,East,Small Market,Colombian,Beans,Coffee,Connecticut,Regular,110,180,130,290,124,961,186,40,115.0,310,71,01,01,2012
860,01/01/2012,East,Small Market,Lemon,Leaves,Herbal Tea,Connecticut,Decaf,60,80,40,140,85,494,105,32,40.0,190,65,01,01,2012
475,01/01/2012,East,Small Market,Mint,Leaves,Herbal Tea,Connecticut,Decaf,50,80,50,130,78,965,92,24,47.0,170,45,01,01,2012
954,01/01/2012,East,Major Market,Darjeeling,Leaves,Tea,Florida,Regular,30,50,40,80,32,821,48,8,28.0,80,20,01,01,2012
754,01/01/2012,East,Major Market,Green Tea,Leaves,Tea,Florida,Regular,30,50,40,80,33,777,48,9,28.0,81,20,01,01,2012
754,01/01/2012,East,Major Market,Decaf Espresso,Beans,Espresso,Florida,Decaf,70,100,60,170,77,432,103,25,50.0,180,53,01,01,2012
239,01/01/2012,East,Major Market,Caffe Mocha,Beans,Espresso,Florida,Regular,70,110,30,180,79,551,111,72,9.0,190,102,01,01,2012
754,01/01/2012,East,Major Market,Decaf Irish Cream,Beans,Coffee,Florida,Decaf,80,110,70,190,84,500,116,26,67.0,200,49,01,01,2012
954,01/01/2012,East,Major Market,Colombian,Beans,Coffee,Florida,Regular,80,110,70,190,84,651,126,27,68.0,210,58,01,01,2012
863,01/01/2012,East,Major Market,Chamomile,Leaves,Herbal Tea,Florida,Decaf,30,50,30,80,48,623,62,15,34.0,110,28,01,01,2012
239,01/01/2012,East,Major Market,Lemon,Leaves,Herbal Tea,Florida,Decaf,40,50,20,90,54,312,66,20,13.0,120,53,01,01,2012
772,01/01/2012,East,Major Market,Mint,Leaves,Herbal Tea,Florida,Decaf,50,60,40,110,69,965,81,21,39.0,150,42,01,01,2012
508,01/01/2012,East,Major Market,Darjeeling,Leaves,Tea,Massachusetts,Regular,30,50,40,80,32,821,48,8,29.0,80,19,01,01,2012
781,01/01/2012,East,Major Market,Green Tea,Leaves,Tea,Massachusetts,Regular,30,50,40,80,32,456,48,8,29.0,80,19,01,01,2012
978,01/01/2012,East,Major Market,Regular Espresso,Beans,Espresso,Massachusetts,Regular,160,170,110,330,170,1091,171,47,100.0,341,71,01,01,2012
781,01/01/2012,East,Major Market,Caffe Mocha,Beans,Espresso,Massachusetts,Regular,60,60,-10,120,63,435,63,57,-23.0,126,86,01,01,2012
413,01/01/2012,East,Major Market,Colombian,Beans,Coffee,Massachusetts,Regular,60,400,360,460,72,558,422,23,367.0,494,55,01,01,2012
339,01/01/2012,East,Major Market,Lemon,Leaves,Herbal Tea,Massachusetts,Decaf,40,60,30,100,58,338,72,22,17.0,130,55,01,01,2012
603,01/01/2012,East,Small Market,Darjeeling,Leaves,Tea,New Hampshire,Regular,10,30,20,40,18,821,27,5,10.0,45,17,01,01,2012
603,01/01/2012,East,Small Market,Green Tea,Leaves,Tea,New Hampshire,Regular,10,30,20,40,17,777,26,4,11.0,43,15,01,01,2012
603,01/01/2012,East,Small Market,Regular Espresso,Beans,Espresso,New Hampshire,Regular,20,40,0,60,29,169,36,11,-8.0,65,44,01,01,2012
603,01/01/2012,East,Small Market,Caffe Mocha,Beans,Espresso,New Hampshire,Regular,30,50,0,80,37,261,53,34,-10.0,90,63,01,01,2012
603,01/01/2012,East,Small Market,Amaretto,Beans,Coffee,New Hampshire,Regular,30,50,30,80,38,241,55,12,20.0,93,35,01,01,2012
603,01/01/2012,East,Small Market,Colombian,Beans,Coffee,New Hampshire,Regular,40,70,40,110,48,372,72,15,25.0,120,47,01,01,2012
603,01/01/2012,East,Small Market,Lemon,Leaves,Herbal Tea,New Hampshire,Decaf,20,30,0,50,34,197,42,12,-4.0,76,46,01,01,2012
347,01/01/2012,East,Major Market,Darjeeling,Leaves,Tea,New York,Regular,100,150,120,250,95,821,139,26,101.0,234,38,01,01,2012
646,01/01/2012,East,Major Market,Earl Grey,Leaves,Tea,New York,Regular,90,140,110,230,89,777,130,24,94.0,219,36,01,01,2012
347,01/01/2012,East,Major Market,Green Tea,Leaves,Tea,New York,Regular,50,90,70,140,54,456,80,15,54.0,134,26,01,01,2012
631,01/01/2012,East,Major Market,Regular Espresso,Beans,Espresso,New York,Regular,210,270,200,480,228,1459,262,63,175.0,490,87,01,01,2012
315,01/01/2012,East,Major Market,Caffe Mocha,Beans,Espresso,New York,Regular,100,-50,-170,50,105,725,-44,95,-172.0,61,128,01,01,2012
716,01/01/2012,East,Major Market,Colombian,Beans,Coffee,New York,Regular,260,380,260,640,271,2101,407,94,262.0,678,145,01,01,2012
607,01/01/2012,East,Major Market,Lemon,Leaves,Herbal Tea,New York,Decaf,180,190,100,370,245,1419,238,93,111.0,483,127,01,01,2012
845,01/01/2012,East,Major Market,Mint,Leaves,Herbal Tea,New York,Decaf,150,-10,-70,140,207,965,-27,64,-113.0,180,86,01,01,2012
337,01/01/2012,South,Small Market,Caffe Mocha,Beans,Espresso,Louisiana,Regular,50,100,80,150,67,400,113,20,70.0,180,43,01,01,2012
337,01/01/2012,South,Small Market,Decaf Espresso,Beans,Espresso,Louisiana,Decaf,50,70,50,120,61,390,89,19,48.0,150,41,01,01,2012
337,01/01/2012,South,Small Market,Chamomile,Leaves,Herbal Tea,Louisiana,Decaf,40,60,40,100,49,623,63,16,35.0,112,28,01,01,2012
504,01/01/2012,South,Small Market,Lemon,Leaves,Herbal Tea,Louisiana,Decaf,80,100,40,180,85,494,105,32,40.0,190,65,01,01,2012
504,01/01/2012,South,Small Market,Caffe Latte,Beans,Espresso,Louisiana,Regular,60,90,10,150,75,522,105,68,8.0,180,97,01,01,2012
225,01/01/2012,South,Small Market,Colombian,Beans,Coffee,Louisiana,Regular,40,60,50,100,34,777,51,9,30.0,85,21,01,01,2012
985,01/01/2012,South,Small Market,Decaf Irish Cream,Beans,Coffee,Louisiana,Decaf,40,60,50,100,33,777,48,9,28.0,81,20,01,01,2012
505,01/01/2012,South,Small Market,Caffe Mocha,Beans,Espresso,New Mexico,Regular,30,40,-10,70,37,261,53,34,-10.0,90,63,01,01,2012
505,01/01/2012,South,Small Market,Decaf Espresso,Beans,Espresso,New Mexico,Decaf,30,40,10,70,35,196,47,11,9.0,82,38,01,01,2012
505,01/01/2012,South,Small Market,Chamomile,Leaves,Herbal Tea,New Mexico,Decaf,10,30,20,40,18,821,27,5,11.0,45,16,01,01,2012
505,01/01/2012,South,Small Market,Lemon,Leaves,Herbal Tea,New Mexico,Decaf,20,40,20,60,28,965,34,8,4.0,62,30,01,01,2012
505,01/01/2012,South,Small Market,Caffe Latte,Beans,Espresso,New Mexico,Regular,20,30,0,50,29,169,36,11,-8.0,65,44,01,01,2012
505,01/01/2012,South,Small Market,Colombian,Beans,Coffee,New Mexico,Regular,60,90,50,150,48,372,72,15,26.0,120,46,01,01,2012
505,01/01/2012,South,Small Market,Decaf Irish Cream,Beans,Coffee,New Mexico,Decaf,110,10,-30,120,88,525,11,27,-39.0,99,50,01,01,2012
405,01/01/2012,South,Small Market,Caffe Mocha,Beans,Espresso,Oklahoma,Regular,20,40,40,60,32,456,48,8,28.0,80,20,01,01,2012
405,01/01/2012,South,Small Market,Decaf Espresso,Beans,Espresso,Oklahoma,Decaf,70,110,70,180,84,651,126,27,67.0,210,59,01,01,2012
918,01/01/2012,South,Small Market,Chamomile,Leaves,Herbal Tea,Oklahoma,Decaf,50,60,20,110,54,312,66,20,13.0,120,53,01,01,2012
580,01/01/2012,South,Small Market,Lemon,Leaves,Herbal Tea,Oklahoma,Decaf,70,110,30,180,79,551,111,72,10.0,190,101,01,01,2012
405,01/01/2012,South,Small Market,Caffe Latte,Beans,Espresso,Oklahoma,Regular,70,100,70,170,84,500,116,26,66.0,200,50,01,01,2012
580,01/01/2012,South,Small Market,Colombian,Beans,Coffee,Oklahoma,Regular,50,70,50,120,44,623,56,14,29.0,100,27,01,01,2012
580,01/01/2012,South,Small Market,Decaf Irish Cream,Beans,Coffee,Oklahoma,Decaf,40,60,50,100,32,821,48,8,28.0,80,20,01,01,2012
325,01/01/2012,South,Major Market,Caffe Mocha,Beans,Espresso,Texas,Regular,70,110,90,180,89,777,130,24,95.0,219,35,01,01,2012
956,01/01/2012,South,Major Market,Decaf Espresso,Beans,Espresso,Texas,Decaf,40,70,60,110,54,456,80,15,54.0,134,26,01,01,2012
281,01/01/2012,South,Major Market,Chamomile,Leaves,Herbal Tea,Texas,Decaf,50,80,50,130,60,336,80,19,33.0,140,47,01,01,2012
254,01/01/2012,South,Major Market,Lemon,Leaves,Herbal Tea,Texas,Decaf,50,80,50,130,57,364,83,18,42.0,140,41,01,01,2012
830,01/01/2012,South,Major Market,Caffe Latte,Beans,Espresso,Texas,Regular,60,90,50,150,72,558,108,23,53.0,180,55,01,01,2012
409,01/01/2012,South,Major Market,Colombian,Beans,Coffee,Texas,Regular,260,300,220,560,207,965,245,64,159.0,452,86,01,01,2012
325,01/01/2012,South,Major Market,Decaf Irish Cream,Beans,Coffee,Texas,Decaf,100,130,100,230,83,623,107,27,68.0,190,39,01,01,2012
435,01/01/2012,West,Small Market,Caffe Latte,Beans,Espresso,Utah,Regular,40,60,40,100,46,777,68,12,44.0,114,24,01,01,2012
435,01/01/2012,West,Small Market,Caffe Mocha,Beans,Espresso,Utah,Regular,40,60,40,100,49,623,63,16,34.0,112,29,01,01,2012
435,01/01/2012,West,Small Market,Decaf Espresso,Beans,Espresso,Utah,Decaf,40,70,50,110,50,821,73,14,47.0,123,26,01,01,2012
801,01/01/2012,West,Small Market,Chamomile,Leaves,Herbal Tea,Utah,Decaf,30,50,30,80,38,241,55,12,21.0,93,34,01,01,2012
435,01/01/2012,West,Small Market,Lemon,Leaves,Herbal Tea,Utah,Decaf,40,60,30,100,48,372,72,15,25.0,120,47,01,01,2012
435,01/01/2012,West,Small Market,Mint,Leaves,Herbal Tea,Utah,Decaf,70,10,-30,80,88,525,11,27,-40.0,99,51,01,01,2012
435,01/01/2012,West,Small Market,Darjeeling,Leaves,Tea,Utah,Regular,20,40,0,60,37,261,53,34,-10.0,90,63,01,01,2012
435,01/01/2012,West,Small Market,Earl Grey,Leaves,Tea,Utah,Regular,20,30,10,50,35,196,47,11,9.0,82,38,01,01,2012
435,01/01/2012,West,Small Market,Green Tea,Leaves,Tea,Utah,Regular,10,30,10,40,29,169,36,11,-9.0,65,45,01,01,2012
801,01/01/2012,West,Small Market,Amaretto,Beans,Coffee,Utah,Regular,90,120,80,210,78,965,92,24,47.0,170,45,01,01,2012
435,01/01/2012,West,Small Market,Colombian,Beans,Coffee,Utah,Regular,60,100,70,160,55,312,75,18,30.0,130,45,01,01,2012
801,01/01/2012,West,Small Market,Decaf Irish Cream,Beans,Coffee,Utah,Decaf,100,130,70,230,85,494,105,32,39.0,190,66,01,01,2012
661,01/01/2012,West,Major Market,Caffe Latte,Beans,Espresso,California,Regular,210,220,150,430,228,1459,228,63,140.0,456,88,01,01,2012
818,01/01/2012,West,Major Market,Caffe Mocha,Beans,Espresso,California,Regular,100,140,20,240,105,725,145,95,17.0,250,128,01,01,2012
213,01/01/2012,West,Major Market,Decaf Espresso,Beans,Espresso,California,Decaf,220,300,200,520,234,1310,312,77,203.0,546,109,01,01,2012
510,01/01/2012,West,Major Market,Chamomile,Leaves,Herbal Tea,California,Decaf,80,120,100,200,95,821,139,26,102.0,234,37,01,01,2012
310,01/01/2012,West,Major Market,Lemon,Leaves,Herbal Tea,California,Decaf,170,220,160,390,207,965,245,64,160.0,452,85,01,01,2012
707,01/01/2012,West,Major Market,Mint,Leaves,Herbal Tea,California,Decaf,70,90,60,160,83,623,107,27,67.0,190,40,01,01,2012
619,01/01/2012,West,Major Market,Darjeeling,Leaves,Tea,California,Regular,50,90,80,140,89,777,130,24,94.0,219,36,01,01,2012
650,01/01/2012,West,Major Market,Earl Grey,Leaves,Tea,California,Regular,30,60,60,90,54,456,80,15,54.0,134,26,01,01,2012
760,01/01/2012,West,Major Market,Green Tea,Leaves,Tea,California,Regular,40,80,50,120,72,558,108,23,54.0,180,54,01,01,2012
916,01/01/2012,West,Major Market,Amaretto,Beans,Coffee,California,Regular,110,70,30,180,95,608,50,30,-2.0,145,52,01,01,2012
559,01/01/2012,West,Major Market,Colombian,Beans,Coffee,California,Regular,340,500,370,840,271,2101,407,94,262.0,678,145,01,01,2012
650,01/01/2012,West,Major Market,Decaf Irish Cream,Beans,Coffee,California,Decaf,180,-40,-120,140,144,862,-26,47,-117.0,118,91,01,01,2012
775,01/01/2012,West,Small Market,Caffe Latte,Beans,Espresso,Nevada,Regular,10,30,20,40,17,777,26,4,11.0,43,15,01,01,2012
702,01/01/2012,West,Small Market,Caffe Mocha,Beans,Espresso,Nevada,Regular,10,30,20,40,18,821,27,5,10.0,45,17,01,01,2012
775,01/01/2012,West,Small Market,Decaf Espresso,Beans,Espresso,Nevada,Decaf,10,30,20,40,17,777,26,4,11.0,43,15,01,01,2012
775,01/01/2012,West,Small Market,Decaf Irish Cream,Beans,Coffee,Nevada,Decaf,30,40,20,70,28,965,34,8,4.0,62,30,01,01,2012
702,01/01/2012,West,Small Market,Chamomile,Leaves,Herbal Tea,Nevada,Decaf,90,130,30,220,105,725,145,95,16.0,250,129,01,01,2012
775,01/01/2012,West,Small Market,Lemon,Leaves,Herbal Tea,Nevada,Decaf,120,180,120,300,144,862,201,47,111.0,345,90,01,01,2012
702,01/01/2012,West,Small Market,Mint,Leaves,Herbal Tea,Nevada,Decaf,80,120,90,200,95,608,139,30,86.0,234,53,01,01,2012
775,01/01/2012,West,Small Market,Darjeeling,Leaves,Tea,Nevada,Regular,150,220,150,370,234,1310,312,77,203.0,546,109,01,01,2012
775,01/01/2012,West,Small Market,Earl Grey,Leaves,Tea,Nevada,Regular,150,160,100,310,228,1459,228,63,141.0,456,87,01,01,2012
702,01/01/2012,West,Small Market,Green Tea,Leaves,Tea,Nevada,Regular,160,-160,-240,0,245,1419,-245,93,-354.0,17,126,01,01,2012
702,01/01/2012,West,Small Market,Colombian,Beans,Coffee,Nevada,Regular,40,50,10,90,34,197,42,12,-3.0,76,45,01,01,2012
503,01/01/2012,West,Small Market,Caffe Latte,Beans,Espresso,Oregon,Regular,50,70,20,120,58,338,72,22,16.0,130,56,01,01,2012
503,01/01/2012,West,Small Market,Caffe Mocha,Beans,Espresso,Oregon,Regular,50,80,50,130,60,336,80,19,33.0,140,47,01,01,2012
971,01/01/2012,West,Small Market,Decaf Espresso,Beans,Espresso,Oregon,Decaf,160,160,100,320,170,1091,171,47,99.0,341,72,01,01,2012
971,01/01/2012,West,Small Market,Decaf Irish Cream,Beans,Coffee,Oregon,Decaf,70,100,70,170,57,364,83,18,42.0,140,41,01,01,2012
971,01/01/2012,West,Small Market,Chamomile,Leaves,Herbal Tea,Oregon,Decaf,30,40,40,70,36,777,54,10,33.0,90,21,01,01,2012
503,01/01/2012,West,Small Market,Lemon,Leaves,Herbal Tea,Oregon,Decaf,30,50,30,80,44,623,56,14,29.0,100,27,01,01,2012
971,01/01/2012,West,Small Market,Darjeeling,Leaves,Tea,Oregon,Regular,20,30,30,50,32,456,48,8,28.0,80,20,01,01,2012
503,01/01/2012,West,Small Market,Earl Grey,Leaves,Tea,Oregon,Regular,50,90,60,140,84,651,126,27,68.0,210,58,01,01,2012
541,01/01/2012,West,Small Market,Green Tea,Leaves,Tea,Oregon,Regular,50,80,50,130,84,500,116,26,67.0,200,49,01,01,2012
541,01/01/2012,West,Small Market,Amaretto,Beans,Coffee,Oregon,Regular,70,110,40,180,63,435,87,57,1.0,150,86,01,01,2012
503,01/01/2012,West,Small Market,Colombian,Beans,Coffee,Oregon,Regular,80,120,60,200,67,400,93,22,28.0,160,65,01,01,2012
425,01/01/2012,West,Small Market,Caffe Latte,Beans,Espresso,Washington,Regular,40,60,40,100,48,623,62,15,35.0,110,27,01,01,2012
253,01/01/2012,West,Small Market,Caffe Mocha,Beans,Espresso,Washington,Regular,50,60,20,110,54,312,66,20,13.0,120,53,01,01,2012
206,01/01/2012,West,Small Market,Decaf Espresso,Beans,Espresso,Washington,Decaf,60,80,60,140,69,965,81,21,39.0,150,42,01,01,2012
509,01/01/2012,West,Small Market,Decaf Irish Cream,Beans,Coffee,Washington,Decaf,90,140,60,230,79,551,111,72,9.0,190,102,01,01,2012
206,01/01/2012,West,Small Market,Chamomile,Leaves,Herbal Tea,Washington,Decaf,100,170,120,270,124,961,186,40,115.0,310,71,01,01,2012
360,01/01/2012,West,Small Market,Lemon,Leaves,Herbal Tea,Washington,Decaf,20,50,50,70,34,777,51,9,30.0,85,21,01,01,2012
360,01/01/2012,West,Small Market,Darjeeling,Leaves,Tea,Washington,Regular,40,80,50,120,67,400,113,20,70.0,180,43,01,01,2012
253,01/01/2012,West,Small Market,Earl Grey,Leaves,Tea,Washington,Regular,40,60,40,100,61,390,89,19,48.0,150,41,01,01,2012
360,01/01/2012,West,Small Market,Green Tea,Leaves,Tea,Washington,Regular,40,80,20,120,75,522,105,68,8.0,180,97,01,01,2012
206,01/01/2012,West,Small Market,Colombian,Beans,Coffee,Washington,Regular,60,100,70,160,53,338,77,16,38.0,130,39,01,01,2012
303,02/01/2012,Central,Major Market,Amaretto,Beans,Coffee,Colorado,Regular,100,150,120,250,99,766,144,27,105.0,243,39,02,01,2012
720,02/01/2012,Central,Major Market,Colombian,Beans,Coffee,Colorado,Regular,80,110,80,190,83,613,107,27,68.0,190,39,02,01,2012
719,02/01/2012,Central,Major Market,Decaf Irish Cream,Beans,Coffee,Colorado,Decaf,100,140,110,240,95,809,137,26,99.0,232,38,02,01,2012
970,02/01/2012,Central,Major Market,Green Tea,Leaves,Tea,Colorado,Regular,30,50,30,80,44,618,56,14,30.0,100,26,02,01,2012
970,02/01/2012,Central,Major Market,Caffe Mocha,Beans,Espresso,Colorado,Regular,80,140,110,220,77,449,112,21,80.0,189,32,02,01,2012
303,02/01/2012,Central,Major Market,Decaf Espresso,Beans,Espresso,Colorado,Decaf,80,140,90,220,75,549,114,24,59.0,189,55,02,01,2012
970,02/01/2012,Central,Major Market,Chamomile,Leaves,Herbal Tea,Colorado,Decaf,140,150,100,290,170,1073,170,47,99.0,340,71,02,01,2012
970,02/01/2012,Central,Major Market,Lemon,Leaves,Herbal Tea,Colorado,Decaf,40,70,10,110,54,427,75,49,-3.0,129,78,02,01,2012
303,02/01/2012,Central,Major Market,Mint,Leaves,Herbal Tea,Colorado,Decaf,50,70,40,120,60,329,80,19,33.0,140,47,02,01,2012
719,02/01/2012,Central,Major Market,Darjeeling,Leaves,Tea,Colorado,Regular,50,60,10,110,59,331,73,22,18.0,132,55,02,01,2012
